a_country,sentiment
FJ,0.20018767049233713
VC,1.3124863199389718
MA,-0.08871451538081855
TI,-0.9261613463282546
RE,-2.0719062621131403
LO,-1.9826823576892993
FP,-1.6506964724758562
SN,-1.5155433094310844
BC,-0.7168234866021227
DJ,1.26788583904113
NZ,-0.9075273234426262
TO,-0.8045587828812845
CV,-0.8173031075406164
SZ,-2.325265179482307
BE,-1.87342429938357
ES,-1.1698234990395318
TZ,-0.4072717063567699
SA,-2.0562417600271523
IC,-1.0091568029582931
LT,-0.5281086367970775
SL,-0.041623851301671344
RS,-1.4265114886730121
TH,-0.3759845489483213
EN,-0.779510754159336
BB,-0.3814290372496055
PP,-1.0647973124252568
HA,-0.11939914547371952
NG,-0.6307939998803629
CG,-1.2870533485348807
LI,-0.6766034234143778
DO,1.1140186556768035
ER,-0.2369254865252539
KG,-1.202084739112045
MJ,1.3185768280012837
ZA,-0.9169517031558665
SG,-1.3708030467963246
JO,-1.8410014686106306
IR,-2.0763504991919137
BR,-1.0743701284427407
AE,-0.6202882755126232
AF,-2.160252997077705
ZI,-1.4794999424897615
BL,-0.9919570932320535
RI,-0.800383339446195
AG,-2.3178225362468754
RW,-1.4121267567854403
BF,0.5232631109920971
GB,0.24082755263028638
BG,-1.5552596670772818
UZ,0.22206241131392992
UK,-0.6306755911740791
ST,0.06098096530444975
PK,-2.081870894221063
BO,-1.152129808677436
SY,-2.4229441267673244
MX,-0.9283604389159361
TS,-1.4385630874036124
TX,1.4770168839490985
CI,-0.7914728336620045
NO,-1.812743359075112
GY,-1.1599383749849088
WA,-1.2898986457452153
VI,-1.2224368764626317
GT,-1.4576470003451312
LH,-1.0649577337335974
CB,-0.8920278483048077
GL,-0.7671139141837446
KN,-1.2069189723146256
MZ,-2.0750722249459725
NU,-0.9999327184454889
AO,-1.5301852922260577
TU,-1.358381132532474
SP,-0.766415997991674
FI,-1.5528730300378963
LG,-1.022657346168826
GG,-0.7733844746818656
KU,-2.2202954667242074
GM,-1.756477825618879
AJ,-0.5447772154786639
SO,-1.9945064088798428
JA,-0.019407455320501626
MP,-0.8056378220684903
CS,-0.691501648009043
NI,-1.2668948238495115
WS,-0.4643771774346421
ML,-1.428805764705319
UP,-2.060030369970207
RP,-0.7470021319789559
PA,-0.8286661310627734
HR,-1.1588299040916556
KS,-0.39404194517382635
UG,-1.2324596533269034
MU,-1.369524333894768
NS,-1.0364323042004306
CO,-0.7909059301630234
KE,-1.6480709387364523
RO,-1.3303823314969443
SU,-1.7246359046334725
MD,-1.7401855286497108
OD,-0.7539991742998314
GP,-3.095085774873621
SF,-1.599716013244496
CH,-0.2565589128461458
AM,-1.4993048642414342
CD,-1.210773396617287
TN,0.9391721485550948
FR,-1.745631021576324
KZ,-0.755399784448968
HO,-1.3376726857812793
EG,-1.9674159821562767
WZ,0.7007155773671293
MH,-0.8473065133297447
AR,-0.8375791425702495
BU,-1.481018522548024
CF,-0.9344548965428175
MK,-1.3734874491189453
AL,-1.6087527568006141
TD,-0.485219895120208
CJ,-0.6025426472210264
GQ,-0.3266927672453501
NP,-1.7631761927436782
PU,-3.2282411474931454
EI,-0.9042623873963025
GA,0.007870011554267241
IV,-0.1256066486057787
CW,1.5035084032359451
BY,-3.2377876610604557
LS,0.7278238784076994
BH,-0.31600566409855396
GV,-1.4150423094514772
MT,-1.600353038560333
LU,-2.080918478122049
CY,-0.835319145928493
GH,-1.299341388663183
VM,-0.21458000912871028
HK,-0.3340473703975953
MG,0.35076895884297615
LE,-2.4023453763606404
RB,0.20044291291418836
SI,-1.280920848038121
KV,-1.1484734243529267
PE,-0.5800109773337571
YM,-2.7066244512753976
AN,0.04448711987334259
TW,-0.48243549594898216
BX,-1.2431595110676747
CM,-1.7637577537531015
GI,0.36499503426514956
MB,-2.6781694598946935
UY,-0.8815956775611986
BM,-1.2812363354881147
AV,2.2134119631399196
US,-1.2305812511825232
DA,-2.349927790166832
SE,-0.10999735042409252
CU,-0.7552077924289552
PO,-1.1027005191300934
BN,-0.34261804798143053
MI,-0.24300932480427123
HU,-0.7287246678293223
UV,0.1441937346528455
DR,0.148633182159566
BT,1.413007710510159
BP,1.3642098442421562
IN,-1.181500290988667
JE,-0.6817685515884517
ET,-1.3722528525018776
TP,-0.17071886821833568
AS,-0.9375631023636208
SW,-1.9712759392839316
NL,-1.621435398091981
AU,-1.432823127570039
GR,-1.5964324867891968
MR,-1.7242923664648946
MC,0.19054326189464277
IT,-0.6569130280177721
BK,-1.9564724630009933
IS,-2.521705360544869
MY,-1.7431582122954257
CT,-1.2416266943733276
ID,-1.2319595850263048
PL,-1.0155338792702113
BD,0.1164483502081957
EZ,-1.801015180607842
EC,-0.8192244111706405
CE,-1.2379630581425332
BA,-0.8754590198632428
VE,-0.7212997666695892
MO,-1.0359784057201304
PM,-0.8374118210999238
IZ,-2.647429345736241
LY,-2.18820016612317
GJ,1.3001274198559547
CA,-1.0509704679359377
NC,-1.1618454361699464
JM,-0.22246728603324384
QA,-2.1218105878800744
